"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Cfl2"	8.09336461490137e-39	-0.547869047885855	0.564	0.552	1.61867292298027e-35	"0"	"Cfl2"
"Mpc1"	1.39611549206735e-38	-0.827769581929447	0.74	0.677	2.79223098413471e-35	"0"	"Mpc1"
"Pkm"	2.28479452136514e-38	-0.705843933991012	0.849	0.763	4.56958904273029e-35	"0"	"Pkm"
"Bola3"	2.28692512315794e-38	-0.784722190638188	0.585	0.559	4.57385024631589e-35	"0"	"Bola3"
"Csrp1"	5.76712809281662e-38	-0.606918752503417	0.524	0.556	1.15342561856332e-34	"0"	"Csrp1"
"Lmcd1"	1.35080389265779e-37	-0.886179747825047	0.639	0.595	2.70160778531558e-34	"0"	"Lmcd1"
"Sfrp4"	1.68119558506591e-37	-0.729295865097581	0.654	0.37	3.36239117013183e-34	"0"	"Sfrp4"
"Retnla"	2.94503625955807e-37	-1.58225164374498	0.608	0.386	5.89007251911614e-34	"0"	"Retnla"
"Ndufv2"	3.18822144292555e-37	-0.673074236616786	0.746	0.688	6.37644288585109e-34	"0"	"Ndufv2"
"Clu"	6.39462276477559e-37	-0.586092611286192	0.632	0.377	1.27892455295512e-33	"0"	"Clu"
"Igfbp5"	5.06017968631266e-36	-1.30324232845157	0.431	0.42	1.01203593726253e-32	"0"	"Igfbp5"
"Nrarp"	7.72726017739379e-36	-0.529437754746897	0.687	0.51	1.54545203547876e-32	"0"	"Nrarp"
"Hba-a1"	1.04969460644328e-35	-2.07655323990628	0.722	0.475	2.09938921288657e-32	"0"	"Hba-a1"
"Mpz"	1.35026304290086e-35	-1.00667151495877	0.54	0.382	2.70052608580172e-32	"0"	"Mpz"
"Pvalb"	3.14867777517133e-35	-2.56101327766384	0.855	0.726	6.29735555034266e-32	"0"	"Pvalb"
"Tmem38a"	5.04713277949894e-35	-0.652244733311864	0.474	0.433	1.00942655589979e-31	"0"	"Tmem38a"
"Ndufa5"	2.3128750544335e-34	-0.604029293248056	0.8	0.745	4.625750108867e-31	"0"	"Ndufa5"
"S100a8"	9.13124284381699e-34	-0.508442945565845	0.3	0.102	1.8262485687634e-30	"0"	"S100a8"
"Slc25a4"	4.10630404110674e-33	-1.29441745733889	0.957	0.898	8.21260808221348e-30	"0"	"Slc25a4"
"Tpm2"	5.00329976314286e-32	-2.16951913971027	0.804	0.698	1.00065995262857e-28	"0"	"Tpm2"
"Prg4"	1.08211331474686e-31	-0.639931797533713	0.349	0.295	2.16422662949371e-28	"0"	"Prg4"
